blh,valid_time,d2m,latitude,longitude,sp,sshf,ssrd,strd,t2m,tcc,tp,u10,v10
919.06494140625,2016/1/14 16:00,271.0880126953125,31.1922,121.4317,102230.6484,-110480.5,859194.5,899426.875,278.97943115234375,0.9591655731201172,1.862645149230957E-9,0.7642993927001953,0.4511772394180298
60.6846923828125,2016/1/14 17:00,271.44354248046875,31.1922,121.4317,102269.1563,9848.8125,266112.875,902997,278.60052490234375,0.9791860580444336,0,0.3541226387023926,0.41403961181640625
43.288818359375,2016/1/14 18:00,272.5382995605469,31.1922,121.4317,102288,10939.8125,2289.5,955912.6875,277.67352294921875,0.9969786405563354,9.313225746154785E-10,-0.481390953,0.46006858348846436
56.17138672,2016/1/14 19:00,272.8802795410156,31.1922,121.4317,102294.6406,14149.0625,-0.125,1012445.375,277.82867431640625,1,0,-0.429139137,0.9112707376480103
91.73339844,2016/1/14 20:00,272.868896484375,31.1922,121.4317,102309.5313,17431.3125,0,1035629.375,277.70599365234375,1,0,-0.81169796,1.5670881271362305
121.190185546875,2016/1/14 21:00,273.1244201660156,31.1922,121.4317,102324.875,20454.75,0,1042500.563,277.41986083984375,0.976347804069519,0,-0.937018633,1.7805827856063843
125.8486328,2016/1/14 22:00,273.60943603515625,31.1922,121.4317,102297.3906,22166.3125,0,1064680.25,277.3430480957031,0.9908137917518616,9.313225746154785E-10,-0.834953308,1.6833913326263428
115.72119140625,2016/1/14 23:00,273.7909851074219,31.1922,121.4317,102309.4844,22963.875,0,1069819.625,277.3885803222656,0.9939572811126709,0,-0.50845623,1.548316478729248
107.260986328125,2016/1/15 0:00,273.8624572753906,31.1922,121.4317,102267.7188,22247,0,1057988.125,277.42523193359375,0.9961546063423157,1.862645149230957E-9,-0.129698038,1.5149004459381104
99.134033203125,2016/1/15 1:00,274.12017822265625,31.1922,121.4317,102246.2266,25055.125,0.25,1061420.375,277.0580139160156,0.9969786405563354,-1.86E-09,0.09544944763183594,1.5656578540802002
81.30615234,2016/1/15 2:00,274.071533203125,31.1922,121.4317,102177.5781,26833.8125,0.25,1034802.875,276.68389892578125,0.9790639877319336,0,0.16424667835235596,1.914025068283081
55.08056641,2016/1/15 3:00,274.2642517089844,31.1922,121.4317,102121.2266,5977.375,0,1026569.688,276.25726318359375,0.9752185940742493,0,0.11254191398620605,1.8517123460769653
45.12939453,2016/1/15 4:00,273.7613525390625,31.1922,121.4317,102069.1016,4505.9375,0,961835.125,275.2180480957031,0.9355133771896362,1.862645149230957E-9,0.22671151161193848,1.760854721069336
48.662353515625,2016/1/15 5:00,273.8184814453125,31.1922,121.4317,102049.8516,5475.0625,0.125,948586.6875,275.387451171875,0.7059038877487183,9.313225746154785E-10,0.4684556722640991,1.9307007789611816
37.10449219,2016/1/15 6:00,273.7351989746094,31.1922,121.4317,102094.3125,7506.46875,-0.125,917979.75,275.46160888671875,0.2593654990196228,0,1.221097469329834,1.3027833700180054
39.524658203125,2016/1/15 7:00,273.63568115234375,31.1922,121.4317,102134.5469,10327.53125,181.75,885832.125,275.3065490722656,0.11078387498855591,9.313225746154785E-10,1.446045160293579,1.4428030252456665
52.864013671875,2016/1/15 8:00,274.1125793457031,31.1922,121.4317,102141.4922,2511.3125,243803.625,864852.125,275.9407958984375,0.006042748689651489,0,1.226129174232483,1.3575690984725952
214.9752197265625,2016/1/15 9:00,274.75494384765625,31.1922,121.4317,102175.3984,-99021.5625,867326.75,864630.25,277.0711364746094,0,0,1.138660192489624,1.1096981763839722
817.4126586914062,2016/1/15 10:00,274.19000244140625,31.1922,121.4317,102203.5469,-275945.9375,1502055,873211.4375,281.0469055175781,0,0,1.6748836040496826,0.6834307312965393
1116.6641845703125,2016/1/15 11:00,272.4498291015625,31.1922,121.4317,102144.8438,-414960.5625,1975927.75,883219.125,281.7538757324219,0.03445592522621155,0,2.393951892852783,-0.053161126
1220.744384765625,2016/1/15 12:00,272.0318908691406,31.1922,121.4317,102058.3516,-485050.875,2209392.25,891302.6875,282.1175842285156,0.011536180973052979,9.313225746154785E-10,2.577191114425659,-0.48461768
1277.77685546875,2016/1/15 13:00,270.5712891,31.1922,121.4317,101942.2344,-493470.9688,2254336.5,894764.875,283.70751953125,0,0,2.551713228225708,-0.709288239
1308.5264892578125,2016/1/15 14:00,270.6119689941406,31.1922,121.4317,101903.9531,-406955.625,2035130.75,889608.125,283.79833984375,0,0,2.2821953296661377,-0.593168616
1295.4427490234375,2016/1/15 15:00,269.8267822265625,31.1922,121.4317,101874.1094,-255923.8438,1591385.75,882297.0625,283.7568664550781,0,0,1.8489476442337036,-0.526190042
1203.066406,2016/1/15 16:00,268.58099365234375,31.1922,121.4317,101889.4297,-70385.5625,977480.375,876947.5,282.6072082519531,0,0,0.983170747756958,-0.292578667
51.69384766,2016/1/15 17:00,271.6356506347656,31.1922,121.4317,101924.8594,19254.4375,321969.125,866734.4375,280.07476806640625,0,0,0.22394227981567383,-0.339785099
